dataset_id,geometry_id,algorithm_id,bit_rule,contamination_id,seed,point_count,bits_axis,miad,normalized_miad,m1_l1_locality,m1_l1_status,m1_l1_sampled,m1_l1_sampled_status,m1_l2_locality,m1_l2_status,m1_l2_sampled,m1_l2_sampled_status,recall_8_64,recall_8_64_status,recall_8_64_sampled,recall_8_64_sampled_status,kendall_tau_clean,frame_angle_rad,peak_rss_kb,cache_miss_rate,block_read_p95,perf_status,sort_seconds,robust_fallback_used
stanford_armadillo,E4,A2_morton,C4_hybrid,D0,1,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1109464,0.0482272,14.0878946,ok,0.203254,False
stanford_armadillo,E4,A2_morton,C4_hybrid,D0,2,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1116360,0.0469972,14.0878946,ok,0.198907,False
stanford_armadillo,E4,A2_morton,C4_hybrid,D0,3,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1123212,0.0427466,14.0878946,ok,0.200764,False
stanford_armadillo,E4,A2_morton,C4_hybrid,D0,4,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1129856,0.0462038,14.0878946,ok,0.201056,False
stanford_armadillo,E4,A3_isotropic_hilbert,C0_uniform,D0,0,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1136892,0.0447092,10.0586234,ok,0.208771,False
stanford_armadillo,E4,A3_isotropic_hilbert,C0_uniform,D0,1,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1143528,0.0403863,10.0586234,ok,0.209173,False
stanford_armadillo,E4,A3_isotropic_hilbert,C0_uniform,D0,2,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1150352,0.0501832,10.0586234,ok,0.208277,False
stanford_armadillo,E4,A3_isotropic_hilbert,C0_uniform,D0,3,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1157152,0.0474104,10.0586234,ok,0.211242,False
stanford_armadillo,E4,A3_isotropic_hilbert,C0_uniform,D0,4,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1163952,0.0485315,10.0586234,ok,0.207678,False
stanford_armadillo,E4,A3_isotropic_hilbert,C1_monotone_half,D0,0,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1170416,0.0496531,10.0586234,ok,0.211513,False
